AOI,NAME,NAME_1,NonHispanicBlackAfricanAmerican2022Percentage,NeighborhoodAreaFt,AllSingleFamParcelsCount,CorpSspctParcelsCount,ProportionSingFamParcelsCorpSspct,ProportionSingleFamilyAreaCorpSspct,ProportionNeighborhoodAreaCorpSspct,CorpSspct_AreaFeetSum,CorpSspct_AreaFeetMin,CorpSspct_AreaFeetMax,CorpSspct_AreaFeetRange,CorpSspct_AreaFeetMean,CorpSspct_AreaFeetMedian,CorpSspct_AreaFeetStddev,CorpSspct_AreaFeetQ1,CorpSspct_AreaFeetQ3,CorpSspct_AreaFeetIqr,NotCorpSspctAreaFeet_Sum,NotCorpSspctAreaFeet_Min,NotCorpSspctAreaFeet_Max,NotCorpSspctAreaFeet_Range,NotCorpSspctAreaFeet_Mean,NotCorpSspctAreaFeet_Median,NotCorpSspctAreaFeet_Stddev,NotCorpSspctAreaFeet_Q1,NotCorpSspctAreaFeet_Q3,NotCorpSspctAreaFeet_Iqr
,Knight Park/Howell Station,Knight Park Howell Station,53.8,15206825.12,332,37,0.111445783,0.066282662,0.018513975,281538.7844,3720.876221,16954.48535,13233.60913,7038.469611,6099.630859,2486.454556,5692.579834,8201.982178,2509.402344,3966009.148,1927.764648,1422011.482,1420083.717,13176.11013,7000.047607,81993.5874,5511.6521,8128.522949,2616.87085
,Lake Claire,Lake Claire,8.7,13734893.4,734,16,0.021798365,0.034640898,0.020967945,287992.4846,6480.683594,53000.18677,46519.50317,16940.73439,8935.33667,14006.11577,7393.765869,16125.07007,8731.304199,8025662.912,166.5788574,286514.209,286347.6301,11146.75404,7828.990845,19550.36456,7443.211792,10081.23865,2638.026855
,Lake Estates,Lake Estates,98,1834676.868,60,1,0.016666667,0.002247808,0.00927671,17019.76465,17019.76465,17019.76465,0,17019.76465,17019.76465,0,17019.76465,17019.76465,0,7554696.179,10551.26929,2385743.704,2375192.435,119915.8124,20050.83398,436462.8547,16871.58838,24080.50293,7208.914551
Y,Lakewood,Lakewood,89.9,14963436.73,611,140,0.22913257,0.183970633,0.165784557,2480706.723,5147.165039,240449.7781,235302.613,17593.6647,10636.18774,27045.62727,9710.321777,14421.22021,4710.898438,11003547.16,714.2314453,542786.5178,542072.2864,23312.59991,11459.34692,51345.27184,9992.406494,17230.58118,7238.174683
Y,Lakewood Heights,Lakewood Heights,86.5,38456138.11,981,241,0.245667686,0.175600237,0.090847614,3493648.377,3524.643799,215412.5471,211887.9033,14436.56354,10485.85461,20110.57675,7959.880615,13091.8374,5131.956787,16401816.65,309.6708984,3410223.684,3409914.013,22134.70533,9878.800293,147602.1239,8074.361084,13036.04492,4961.683838
,Laurens Valley,Laurens Valley,93,5426095.911,141,12,0.085106383,0.049291372,0.046939443,254697.9177,16465.59277,31287.11572,14821.52295,21224.82648,19364.7384,4265.73285,17985.0415,24028.08215,6043.040649,4912492.808,16777.36719,458755.2622,441977.895,38081.33959,22900.28101,61325.45479,19120.5249,28562.21558,9441.690674
Y,Leila Valley,Leila Valley,89.9,13712533.98,264,59,0.223484849,0.249692128,0.197804238,2712397.331,7579.628906,1410519.274,1402939.646,45972.83612,12109.41235,187725.8876,10749.51282,14026.46057,3276.947754,8150569.616,5562.716309,2320752.854,2315190.137,39758.87617,11835.88525,185992.7291,10241.64453,14483.28491,4241.640381
,Lincoln Homes,Lincoln Homes,79,7256688.686,291,68,0.233676976,0.274054952,0.311439994,2260023.083,2384.2229,908547.3323,906163.1094,32286.04405,9238.539795,113741.709,7813.409424,11135.22705,3321.817627,5986582.452,1246.268799,1774081.905,1772835.636,26725.81452,8900.646362,135894.2639,7738.115723,10810.23132,3072.115601
,Lindbergh/Morosgo,Lindbergh Morosgo,36.3,16702297.13,14,2,0.142857143,0.293775119,0.018185666,303742.3892,114272.1719,189470.2173,75198.04541,151871.1946,151871.1946,37599.02271,114272.1719,189470.2173,75198.04541,730185.8428,6166.039063,398743.4832,392577.4441,60848.82023,14859.18713,107491.9234,11487.33582,51003.25867,39515.92285
,Lindridge/Martin Manor,Lindridge Martin Manor,29.3,19676040.77,481,32,0.066528067,0.043611906,0.073557988,1447329.969,3637.899414,323573.7117,319935.8123,45229.06152,14287.78674,68144.19073,10879.88782,44788.28064,33908.39282,31739249.43,255.2897949,699002.4561,698747.1663,70688.7515,13063.93652,153668.321,10052.00562,17938.56128,7886.555664
,Loring Heights,Loring Heights,40.1,12040196.54,361,24,0.066481994,0.168915105,0.061270819,737712.7053,5051.022705,209241.844,204190.8213,30738.02939,10090.5343,46210.46362,7775.677124,31875.64136,24099.96423,3629645.116,4737.499268,130464.8433,125727.344,10612.99742,8828.355713,8970.27494,7751.279053,11172.32324,3421.044189
,Magnum Manor,Magnum Manor,92.1,6537642.236,182,8,0.043956044,0.031522715,0.029782395,194706.6453,18886.65918,35518.78003,16632.12085,24338.33066,22964.96472,5084.871779,20332.52161,26853.1167,6520.595093,5982002.624,13025.72583,687999.6672,674973.9414,34379.32542,25564.505,62467.99948,20389.87524,29644.20361,9254.328369
,Margaret Mitchell,Margaret Mitchell,6.7,23552112.22,771,21,0.027237354,0.164328075,0.332329994,7827073.319,1962.441406,1589185.763,1587223.321,326128.0549,28219.93213,576539.961,19203.16162,153451.4185,134248.2568,39803700.09,99.99902344,3231057.039,3230957.04,77439.10523,25153.49194,282411.627,19562.34473,37371.01855,17808.67383
